Disease,Symptoms
Varicose veins,"bruising, cramps, fatigue, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs"
Varicose veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels"
Varicose veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_legs"
Varicose veins,"bruising, cramps, fatigue, obesity, swollen_blood_vessels, swollen_legs"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties"
Hypothyroidism,"abnormal_menstruation, brittle_nails, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, puffy_face_and_eyes, swollen_extremeties, weight_gain"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain"
Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, swollen_extremeties, weight_gain"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, muscle_weakness, restlessness, sweating, weight_loss"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, sweating, weight_loss"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, weight_loss"
Hyperthyroidism,"abnormal_menstruation, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss"
Hyperthyroidism,"abnormal_menstruation, diarrhoea, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
Hypoglycemia,"blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, vomiting"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, palpitations, slurred_speech, sweating, vomiting"
Hypoglycemia,"anxiety, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
Osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints"
Osteoarthristis,"hip_joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints"
Osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, painful_walking, swelling_joints"
Osteoarthristis,"hip_joint_pain, joint_pain, neck_pain, painful_walking, swelling_joints"
Osteoarthristis,"joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints"
Osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, neck_pain, painful_walking"
Osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, neck_pain, swelling_joints"
Arthritis,"movement_stiffness, muscle_weakness, painful_walking, stiff_neck, swelling_joints"
Arthritis,"movement_stiffness, painful_walking, stiff_neck, swelling_joints"
Arthritis,"movement_stiffness, muscle_weakness, painful_walking, swelling_joints"
Arthritis,"movement_stiffness, muscle_weakness, painful_walking, stiff_neck"
Arthritis,"muscle_weakness, painful_walking, stiff_neck, swelling_joints"
Arthritis,"movement_stiffness, muscle_weakness, stiff_neck, swelling_joints"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, spinning_movements, unsteadiness"
(vertigo) Paroymsal  Positional Vertigo,"loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, spinning_movements, unsteadiness, vomiting"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, unsteadiness, vomiting"
(vertigo) Paroymsal  Positional Vertigo,"headache, nausea, spinning_movements, unsteadiness, vomiting"
(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, spinning_movements, vomiting"
Acne,"blackheads, pus_filled_pimples, scurring, skin_rash"
Acne,"blackheads, pus_filled_pimples, scurring"
Acne,"blackheads, scurring, skin_rash"
Acne,"pus_filled_pimples, scurring, skin_rash"
Acne,"blackheads, pus_filled_pimples, skin_rash"
Urinary tract infection,"bladder_discomfort, burning_micturition, continuous_feel_of_urine, foul_smell_of urine"
Urinary tract infection,"bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine"
Urinary tract infection,"burning_micturition, continuous_feel_of_urine, foul_smell_of urine"
Urinary tract infection,"bladder_discomfort, burning_micturition, continuous_feel_of_urine"
Urinary tract infection,"bladder_discomfort, burning_micturition, foul_smell_of urine"
Psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_peeling, skin_rash, small_dents_in_nails"
Psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_peeling, small_dents_in_nails"
Psoriasis,"inflammatory_nails, silver_like_dusting, skin_peeling, skin_rash, small_dents_in_nails"
Psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_rash, small_dents_in_nails"
Psoriasis,"inflammatory_nails, joint_pain, skin_peeling, skin_rash, small_dents_in_nails"
Psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_peeling, skin_rash"
Psoriasis,"joint_pain, silver_like_dusting, skin_peeling, skin_rash, small_dents_in_nails"
Impetigo,"blister, high_fever, red_sore_around_nose, skin_rash, yellow_crust_ooze"
Impetigo,"blister, high_fever, red_sore_around_nose, yellow_crust_ooze"
Impetigo,"blister, red_sore_around_nose, skin_rash, yellow_crust_ooze"
Impetigo,"high_fever, red_sore_around_nose, skin_rash, yellow_crust_ooze"
Impetigo,"blister, high_fever, skin_rash, yellow_crust_ooze"
Impetigo,"blister, high_fever, red_sore_around_nose, skin_rash"
